lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
syllabize,SYLLABIZE,9,verb,1656-,1656,2,borrowing,transitive. To form or divide into syllables; to…,printed date range,http://www.oed.com/dictionary/syllabize_v
Whig,WHIG,4,"noun, adjective",1657-,1657,5,shortening,"A member, supporter, or representative of the…",printed date range,http://www.oed.com/dictionary/whig_n2
experiential,EXPERIENTIAL,12,adjective,1658-,1658,5,borrowing,Of or relating to experience; (also) involving or…,printed date range,http://www.oed.com/dictionary/experiential_adj
water-wit,WATERWIT,8,noun,1658-,1658,1,compound,†a. (Perhaps) a person with only water for wits…,printed date range,http://www.oed.com/dictionary/water-wit_n
buzzardism,BUZZARDISM,10,noun,1659-,1659,0,derivative,Conduct resembling that of the buzzard; cowardice.,printed date range,http://www.oed.com/dictionary/buzzardism_n
celibate,CELIBATE,8,verb,1659-,1659,3,conversion,"transitive. To restrain from marriage, compel to…",printed date range,http://www.oed.com/dictionary/celibate_v
sing-sing,SINGSING,8,noun,1659-,1659,2,imitative,A singing or ringing sound.,printed date range,http://www.oed.com/dictionary/sing-sing_n1
uncritical,UNCRITICAL,10,"adjective, noun",1659-,1659,5,derivative,Lacking good judgement; undiscriminating…,printed date range,http://www.oed.com/dictionary/uncritical_adj
clericality,CLERICALITY,11,noun,1660-,1660,1,derivative,"The characteristics, position, or status of…",printed date range,http://www.oed.com/dictionary/clericality_n
collectable,COLLECTABLE,11,"adjective, noun",1660-,1660,3,derivative,"Of an object, work of art, etc.: worth…",printed date range,http://www.oed.com/dictionary/collectable_adj
coronated,CORONATED,9,adjective,1660-,1660,3,borrowing,Conchology. Of (part of) the spiral shell of a…,printed date range,http://www.oed.com/dictionary/coronated_adj
earmarking,EARMARKING,10,noun,1660-,1660,3,derivative,The practice of marking a sheep or other animal…,printed date range,http://www.oed.com/dictionary/earmarking_n
episcopomastix,EPISCOPOMASTIX,14,noun,1660-,1660,0,borrowing,A person who attacks the system of episcopal…,printed date range,http://www.oed.com/dictionary/episcopomastix_n
tactility,TACTILITY,9,noun,1660-,1660,3,derivative,The quality or condition of being tactile.,printed date range,http://www.oed.com/dictionary/tactility_n
talpify,TALPIFY,7,verb,1660-,1660,0,compound,(transitive) to make mole-like (in allusive use).,printed date range,http://www.oed.com/dictionary/talpify_v
earth hunger,EARTHHUNGER,11,noun,a1661-,1661,2,compound,Desire to possess land; greed for territory.,printed date range,http://www.oed.com/dictionary/earth-hunger_n
flip-flop,FLIPFLOP,8,"noun, adjective, adverb",1661-,1661,4,compound,Any of various informal backless shoes; now esp…,printed date range,http://www.oed.com/dictionary/flip-flop_n
fountainlet,FOUNTAINLET,11,noun,a1661-,1661,0,derivative,A little fountain.,printed date range,http://www.oed.com/dictionary/fountainlet_n
Turkic,TURKIC,6,"adjective, noun",1661-,1661,4,borrowing,Designating a large group of closely related…,printed date range,http://www.oed.com/dictionary/turkic_adj
cynarctomachy,CYNARCTOMACHY,13,noun,1663-,1663,1,borrowing,Fighting of dogs and bears; bear-baiting.,printed date range,http://www.oed.com/dictionary/cynarctomachy_n
discriminator,DISCRIMINATOR,13,noun,1663-,1663,4,borrowing,A person who perceives or notes distinctions or…,printed date range,http://www.oed.com/dictionary/discriminator_n
inobligality,INOBLIGALITY,12,noun,a1663-,1663,0,derivative,The quality of not being obligatory.,printed date range,http://www.oed.com/dictionary/inobligality_n
