lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
tobaccoy,TOBACCOY,8,adjective,1840-,1840,1,derivative,Impregnated with or smelling of tobacco-smoke.,printed date range,http://www.oed.com/dictionary/tobaccoy_adj
toxophilitism,TOXOPHILITISM,13,noun,1840-,1840,0,derivative,"= toxophily, n.",printed date range,http://www.oed.com/dictionary/toxophilitism_n
crucible,CRUCIBLE,8,verb,1841-,1841,3,conversion,To put into or melt in a crucible.,printed date range,http://www.oed.com/dictionary/crucible_v
daddyism,DADDYISM,8,noun,1841-,1841,1,derivative,Chiefly U.S. Paternalistic policy or practice on…,printed date range,http://www.oed.com/dictionary/daddyism_n
earth battery,EARTHBATTERY,12,noun,1841-,1841,1,compound,"†a. Military a battery (battery, n. III.8a)…",printed date range,http://www.oed.com/dictionary/earth-battery_n
egoistry,EGOISTRY,8,noun,1841-,1841,0,derivative,"= egoism, n.",printed date range,http://www.oed.com/dictionary/egoistry_n
enceinteship,ENCEINTESHIP,12,noun,1841-,1841,0,derivative,"The state of being enceinte, n.",printed date range,http://www.oed.com/dictionary/enceinteship_n
flirtationship,FLIRTATIONSHIP,14,noun,1841-,1841,0,derivative,A period of repeated flirtatious behaviour…,printed date range,http://www.oed.com/dictionary/flirtationship_n
floricide,FLORICIDE,9,noun,1841-,1841,0,borrowing,One who destroys flowers.,printed date range,http://www.oed.com/dictionary/floricide_n
harshish,HARSHISH,8,adjective,1841-,1841,1,derivative,Somewhat harsh.,printed date range,http://www.oed.com/dictionary/harshish_adj
sheepsheadism,SHEEPSHEADISM,13,noun,1841-,1841,0,derivative,The practice of eating sheep's-head.,printed date range,http://www.oed.com/dictionary/sheepsheadism_n
Tritonize,TRITONIZE,9,verb,1841-,1841,0,derivative,"(intransitive) to play the Triton (see Triton, n.¹ 1c).",printed date range,http://www.oed.com/dictionary/tritonize_v
bird farm,BIRDFARM,8,noun,1842-,1842,0,compound,A farm on which birds are reared or kept.,printed date range,http://www.oed.com/dictionary/bird-farm_n
cantatize,CANTATIZE,9,verb,1842-,1842,0,derivative,To perform cantatas.,printed date range,http://www.oed.com/dictionary/cantatize_v
donkeyess,DONKEYESS,9,noun,1842-,1842,0,derivative,A female donkey.,printed date range,http://www.oed.com/dictionary/donkeyess_n
ensignhood,ENSIGNHOOD,10,noun,1842-,1842,0,derivative,The state of being an ensign.,printed date range,http://www.oed.com/dictionary/ensignhood_n
farcedom,FARCEDOM,8,noun,1842-,1842,0,derivative,Farcical spirit or style.,printed date range,http://www.oed.com/dictionary/farcedom_n
firkineer,FIRKINEER,9,noun,1842-,1842,0,derivative,One who sells by the firkin.,printed date range,http://www.oed.com/dictionary/firkineer_n
ink-tippler,INKTIPPLER,10,noun,1842-,1842,0,compound,"One who is constantly using ink, a writer.",printed date range,http://www.oed.com/dictionary/ink-tippler_n
sconce,SCONCE,6,verb,1842-,1842,1,shortening,"transitive. = ensconce, v. 3b.",printed date range,http://www.oed.com/dictionary/sconce_v3
stagemanship,STAGEMANSHIP,12,noun,?1842-,1842,0,derivative,The art or skill of a male stage actor or…,printed date range,http://www.oed.com/dictionary/stagemanship_n
twinfold,TWINFOLD,8,adjective,1842-,1842,1,derivative,"Twofold, with the two parts or elements in close…",printed date range,http://www.oed.com/dictionary/twinfold_adj
yachtian,YACHTIAN,8,noun,1842-,1842,0,derivative,A yachtsman.,printed date range,http://www.oed.com/dictionary/yachtian_n
bodilize,BODILIZE,8,verb,a1843-,1843,0,derivative,transitive. To make corporeal or material.,printed date range,http://www.oed.com/dictionary/bodilize_v
corn-law,CORNLAW,7,verb,1843-,1843,2,,To impose corn-laws upon.,printed date range,http://www.oed.com/dictionary/corn-law_v
corn-lawing,CORNLAWING,10,adjective,1843-,1843,1,derivative,Passing or supporting corn-laws.,printed date range,http://www.oed.com/dictionary/corn-lawing_adj
dendranthropology,DENDRANTHROPOLOGY,17,noun,a1843-,1843,0,compound,‘Study based on the theory that man had sprung…,printed date range,http://www.oed.com/dictionary/dendranthropology_n
donkey,DONKEY,6,verb,1843-,1843,3,conversion,(intransitive) to ride a donkey.,printed date range,http://www.oed.com/dictionary/donkey_v
Escurialize,ESCURIALIZE,11,verb,1843-,1843,0,proper name,transitive. To subject to influences like those…,printed date range,http://www.oed.com/dictionary/escurialize_v
flunkeyhood,FLUNKEYHOOD,11,noun,1843-,1843,1,derivative,The fact or state of being a flunkey.,printed date range,http://www.oed.com/dictionary/flunkeyhood_n
hempstretch,HEMPSTRETCH,11,noun,a1843-,1843,0,compound,"A person hanged. Cf. stretchhemp at hemp, n. 3a.",printed date range,http://www.oed.com/dictionary/hempstretch_n
hindermate,HINDERMATE,10,noun,a1843-,1843,0,compound,A companion who is a hindrance.,printed date range,http://www.oed.com/dictionary/hindermate_n
hoplarchy,HOPLARCHY,9,noun,a1843-,1843,0,compound,(See quot.).,printed date range,http://www.oed.com/dictionary/hoplarchy_n
iatrarchy,IATRARCHY,9,noun,a1843-,1843,0,borrowing,The order of physicians.,printed date range,http://www.oed.com/dictionary/iatrarchy_n
inspunge,INSPUNGE,8,verb,1843-,1843,0,derivative,transitive. To confine in a sponging-house.,printed date range,http://www.oed.com/dictionary/inspunge_v
laddism,LADDISM,7,noun,1843-,1843,2,derivative,The condition or character of a lad.,printed date range,http://www.oed.com/dictionary/laddism_n
pinafore,PINAFORE,8,verb,1843-,1843,3,conversion,transitive (usually in passive). To dress in a…,printed date range,http://www.oed.com/dictionary/pinafore_v
rubricist,RUBRICIST,9,noun,1843-,1843,2,derivative,A strict or overzealous observer of liturgical rubrics.,printed date range,http://www.oed.com/dictionary/rubricist_n
sinesalary,SINESALARY,10,noun,a1843-,1843,0,borrowing,An office without pay.,printed date range,http://www.oed.com/dictionary/sinesalary_n
toxology,TOXOLOGY,8,noun,1843-,1843,1,borrowing,"The study of the bow, i.e. archery; but in quot…",printed date range,http://www.oed.com/dictionary/toxology_n
Yankeedoodledodom,YANKEEDOODLEDODOM,17,noun,1843-,1843,0,derivative,"= Yankeedom, n.",printed date range,http://www.oed.com/dictionary/yankeedoodledodom_n
after-party,AFTERPARTY,10,noun,1844-,1844,2,derivative,A party (usually of an exclusive nature) which…,printed date range,http://www.oed.com/dictionary/after-party_n
capkin,CAPKIN,6,noun,1844-,1844,0,derivative,A little cap.,printed date range,http://www.oed.com/dictionary/capkin_n
dimonosyllabic,DIMONOSYLLABIC,14,adjective,1844-,1844,0,compound,Consisting of two monosyllables.,printed date range,http://www.oed.com/dictionary/dimonosyllabic_adj
function,FUNCTION,8,verb,1844-,1844,6,conversion,intransitive. To fulfil one's function; to work…,printed date range,http://www.oed.com/dictionary/function_v
hieropathic,HIEROPATHIC,11,adjective,1844-,1844,0,borrowing,Consisting in love of the clergy.,printed date range,http://www.oed.com/dictionary/hieropathic_adj
kitist,KITIST,6,noun,1844-,1844,0,derivative,One skilled in flying kites.,printed date range,http://www.oed.com/dictionary/kitist_n
railway,RAILWAY,7,verb,1844-,1844,4,conversion,transitive. To provide (a place) with railways.,printed date range,http://www.oed.com/dictionary/railway_v
shoekin,SHOEKIN,7,noun,1844-,1844,0,derivative,A small shoe.,printed date range,http://www.oed.com/dictionary/shoekin_n
tartar-emeticize,TARTAREMETICIZE,15,verb,1844-,1844,0,compound,(transitive) to dose with tartar-emetic.,printed date range,http://www.oed.com/dictionary/tartar-emeticize_v
cocktailian,COCKTAILIAN,11,"adjective, noun",1845-,1845,0,derivative,"Of, relating to, or characteristic of cocktails…",printed date range,http://www.oed.com/dictionary/cocktailian_adj
cottonocrat,COTTONOCRAT,11,noun,1845-,1845,0,,A member of the cottonocracy; a cotton-lord.,printed date range,http://www.oed.com/dictionary/cottonocrat_n
disidentify,DISIDENTIFY,11,verb,1845-,1845,3,derivative,transitive. To undo or veil the identity of.,printed date range,http://www.oed.com/dictionary/disidentify_v
embrownment,EMBROWNMENT,11,noun,1845-,1845,0,derivative,Brown colouring.,printed date range,http://www.oed.com/dictionary/embrownment_n
goose-paddle,GOOSEPADDLE,11,verb,1845-,1845,0,compound,transitive to propel by paddling like a goose.,printed date range,http://www.oed.com/dictionary/goose-paddle_v
joggling table,JOGGLINGTABLE,13,noun,1845-,1845,0,compound,Printing. A vibrating table or board that allows…,printed date range,http://www.oed.com/dictionary/joggling-table_n
knightfully,KNIGHTFULLY,11,adverb,1845-,1845,0,derivative,"Like a knight, bravely.",printed date range,http://www.oed.com/dictionary/knightfully_adv
roadcraft,ROADCRAFT,9,noun,1845-,1845,1,compound,"†a. The occupation, skill, or craft of a…",printed date range,http://www.oed.com/dictionary/roadcraft_n
taggery,TAGGERY,7,noun,1845-,1845,0,derivative,The work of a tagger; the tagging of rhymes.,printed date range,http://www.oed.com/dictionary/taggery_n
theriomaniac,THERIOMANIAC,12,noun,1845-,1845,0,compound,A person having an obsession or mania for hunting…,printed date range,http://www.oed.com/dictionary/theriomaniac_n
threelihood,THREELIHOOD,11,noun,1845-,1845,0,derivative,The Trinity; threefoldness.,printed date range,http://www.oed.com/dictionary/threelihood_n
tobaccose,TOBACCOSE,9,adjective,1845-,1845,0,derivative,"Addicted to, or characterized by addiction to, tobacco.",printed date range,http://www.oed.com/dictionary/tobaccose_adj
typeless,TYPELESS,8,adjective,1845-,1845,3,derivative,"Untyped, unprinted.",printed date range,http://www.oed.com/dictionary/typeless_adj
bayoneteer,BAYONETEER,10,noun,1846-,1846,1,derivative,A soldier armed with the bayonet.,printed date range,http://www.oed.com/dictionary/bayoneteer_n
Cottonian,COTTONIAN,9,noun,1846-,1846,2,derivative,A person involved or invested in the cotton…,printed date range,http://www.oed.com/dictionary/cottonian_n
daguerreotypism,DAGUERREOTYPISM,15,noun,1846-,1846,0,derivative,Minute exactness as of a daguerreotype.,printed date range,http://www.oed.com/dictionary/daguerreotypism_n
dandyling,DANDYLING,9,noun,1846-,1846,0,derivative,A diminutive or petty dandy.,printed date range,http://www.oed.com/dictionary/dandyling_n
equison,EQUISON,7,noun,1846-,1846,0,borrowing,A groom; a horse-jockey.,printed date range,http://www.oed.com/dictionary/equison_n2
futurism,FUTURISM,8,noun,1846-,1846,4,derivative,Usually with capital initial. An artistic and…,printed date range,http://www.oed.com/dictionary/futurism_n
husbanddom,HUSBANDDOM,10,noun,1846-,1846,0,derivative,The state or condition of being a husband.,printed date range,http://www.oed.com/dictionary/husbanddom_n
irregularist,IRREGULARIST,12,noun,1846-,1846,0,derivative,One who adheres to an irregular course or proceeding.,printed date range,http://www.oed.com/dictionary/irregularist_n
jejunery,JEJUNERY,8,noun,1846-,1846,0,derivative,Fasting; jejune writing.,printed date range,http://www.oed.com/dictionary/jejunery_n
pastille,PASTILLE,8,verb,1846-,1846,1,conversion,transitive. To make into a pastille.,printed date range,http://www.oed.com/dictionary/pastille_v
dustward,DUSTWARD,8,adverb,1847-,1847,1,derivative,Towards the dust; towards death or the grave.,printed date range,http://www.oed.com/dictionary/dustward_adv
fad,FAD,3,verb,1847-,1847,4,unknown,intransitive. dialect. (See quots.),printed date range,http://www.oed.com/dictionary/fad_v
flinchless,FLINCHLESS,10,adjective,1847-,1847,1,derivative,Without a flinch.,printed date range,http://www.oed.com/dictionary/flinchless_adj
heteropathy,HETEROPATHY,11,noun,1847-,1847,2,compound,"Medicine. = allopathy, n.: opposed to homœopathy.",printed date range,http://www.oed.com/dictionary/heteropathy_n
insuffice,INSUFFICE,9,verb,1847-,1847,0,derivative,intransitive. To fail to suffice; to be insufficient.,printed date range,http://www.oed.com/dictionary/insuffice_v
sacked,SACKED,6,adjective,1847-,1847,2,derivative,Wearing a sack.,printed date range,http://www.oed.com/dictionary/sacked_adj2
sweeperess,SWEEPERESS,10,noun,1847-,1847,2,derivative,A female (crossing-) sweeper.,printed date range,http://www.oed.com/dictionary/sweeperess_n
viaggiatory,VIAGGIATORY,11,adjective,1847-,1847,0,borrowing,Given to travelling about.,printed date range,http://www.oed.com/dictionary/viaggiatory_adj
vo,VO,2,noun,1847-,1847,5,shortening,A size of book.,printed date range,http://www.oed.com/dictionary/vo_n
cornucopiosity,CORNUCOPIOSITY,14,noun,1848-,1848,0,derivative,? Cornucopia-like arrangement or profusion.,printed date range,http://www.oed.com/dictionary/cornucopiosity_n
cuisinic,CUISINIC,8,adjective,1848-,1848,0,derivative,Pertaining to the cuisine.,printed date range,http://www.oed.com/dictionary/cuisinic_adj
double-barrel,DOUBLEBARREL,12,verb,1848-,1848,3,,transitive. To alter (one's surname) by…,printed date range,http://www.oed.com/dictionary/double-barrel_v
eludent,ELUDENT,7,adjective,1848-,1848,1,borrowing,That eludes (the gaze).,printed date range,http://www.oed.com/dictionary/eludent_adj
embastille,EMBASTILLE,10,verb,1848-,1848,0,borrowing,"transitive. To surround (a city) with forts, or…",printed date range,http://www.oed.com/dictionary/embastille_v
flunkeyfied,FLUNKEYFIED,11,adjective,1848-,1848,0,derivative,Imbued with flunkeyism.,printed date range,http://www.oed.com/dictionary/flunkeyfied_adj
forficulate,FORFICULATE,11,verb,1848-,1848,0,borrowing,"intransitive. To have a ‘creeping’ sensation, as…",printed date range,http://www.oed.com/dictionary/forficulate_v
herpetic,HERPETIC,8,adjective,1848-,1848,3,borrowing,"Crawling, reptilian.",printed date range,http://www.oed.com/dictionary/herpetic_adj2
humblement,HUMBLEMENT,10,noun,1848-,1848,3,derivative,Humiliation.,printed date range,http://www.oed.com/dictionary/humblement_n
tariffize,TARIFFIZE,9,verb,1848-,1848,0,derivative,(transitive) to subject to a tariff or system of…,printed date range,http://www.oed.com/dictionary/tariffize_v
transdiurnal,TRANSDIURNAL,12,adjective,1848-,1848,1,derivative,That is beyond the confines of day.,printed date range,http://www.oed.com/dictionary/transdiurnal_adj
treeify,TREEIFY,7,verb,1848-,1848,0,derivative,transitive. To make or change into a tree.,printed date range,http://www.oed.com/dictionary/treeify_v
consequenceless,CONSEQUENCELESS,15,adjective,1849-,1849,1,derivative,Without consequences.,printed date range,http://www.oed.com/dictionary/consequenceless_adj
diphrelatic,DIPHRELATIC,11,adjective,1849-,1849,1,borrowing,Relating to the driving of a chariot…,printed date range,http://www.oed.com/dictionary/diphrelatic_adj
disvowelled,DISVOWELLED,11,adjective,1849-,1849,0,derivative,Rendered vowelless; that does not pronounce vowels.,printed date range,http://www.oed.com/dictionary/disvowelled_adj
Laputically,LAPUTICALLY,11,adverb,a1849-,1849,0,,After the fashion of the Laputans.,printed date range,http://www.oed.com/dictionary/laputically_adv
sangsue,SANGSUE,7,noun,a1849-,1849,2,borrowing,A leech.,printed date range,http://www.oed.com/dictionary/sangsue_n
snivelize,SNIVELIZE,9,verb,1849-,1849,1,,(transitive) to reduce (someone) to a state of…,printed date range,http://www.oed.com/dictionary/snivelize_v
solidiform,SOLIDIFORM,10,noun,1849-,1849,1,compound,A solid body.,printed date range,http://www.oed.com/dictionary/solidiform_n
steepleless,STEEPLELESS,11,adjective,1849-,1849,1,derivative,Having no steeple.,printed date range,http://www.oed.com/dictionary/steepleless_adj
touristship,TOURISTSHIP,11,noun,1849-,1849,0,derivative,The quality or position of a tourist.,printed date range,http://www.oed.com/dictionary/touristship_n
vanitarianism,VANITARIANISM,13,noun,1849-,1849,0,derivative,The pursuit of vanities.,printed date range,http://www.oed.com/dictionary/vanitarianism_n
